nn_W;np_W;nominal_W;neoclass_W;poss_pronoun_W;pronoun_all_W;p1_perspron_P;p2_perspron_P;p3_perspron_P;it_P;pospers1_W;pospers2_W;pospers3_W;adj_W;atadj_W;predadj_W;prep_W;past_tense_F;will_F;modal_verb_V;verb_W;infinitive_F;passive_F;coordination_F;subordination_F;interrogative_S;imperative_S;title_W;salutation_S;place_adv_W;time_adv_W;prep_initial_S;adv_initial_S;text_initial_S;wh_initial_S;disc_initial_S;nonfin_initial_S;subord_initial_S;verb_initial_S
33.318.585;4.105.490;3.349.878;0.247475;4.449.120;28.961.574;38.930.952;34.602.381;43.947.619;21.045.238;8.355.369;8.628.651;9.799.088;9.426.143;5.146.173;4.279.971;11.636.534;24.042.857;7.900.000;6.494.048;40.619.612;22.459.524;2.666.667;;;5;10;0.000000;0;0.229167;2.708.864;10;30.000.000;10;9.000.000;20;5;20;13.000.000
45.851.733;12.823.748;7.018.149;1.771.368;3.268.980;56.190.331;48.416.667;56.416.667;72.916.667;27.666.667;12.162.766;19.962.050;18.612.192;19.173.157;4.416.150;14.757.006;13.338.835;47.083.333;5.000.000;8.783.333;60.168.729;;5.000.000;;;9;8;0.000000;0;0.787500;3.543.943;6;26.000.000;20;19.000.000;66;6;17;17.000.000
43.509.770;13.976.375;4.284.408;0.608766;2.185.212;42.788.303;58.450.000;57.842.857;48.623.810;;12.500.465;16.917.502;10.783.954;11.939.818;4.005.427;7.934.390;16.702.381;50.216.667;4.333.333;8.842.857;55.549.686;11.083.333;2.833.333;;;6;8;0.565873;0;2.822.699;4.157.288;7;26.000.000;22;13.000.000;48;15;19;13.000.000
33.895.172;8.507.669;2.853.756;0.602778;3.498.240;48.732.113;60.400.000;43.845.238;72.685.714;33.269.048;14.519.494;13.953.403;17.381.219;12.359.690;4.933.824;7.425.866;15.956.704;45.500.000;5.166.667;12.750.000;62.459.330;17.033.333;7.333.333;;;9;5;0.058824;0;2.113.320;3.928.936;3;42.000.000;17;21.000.000;25;7;14;13.000.000
53.232.122;15.264.584;7.398.164;0.628788;2.927.070;39.660.875;27.166.667;41.683.333;68.583.333;;6.158.088;12.811.327;16.777.076;13.625.567;7.125.928;6.499.639;18.948.278;34.333.333;10.333.333;12.588.889;62.673.773;;6.000.000;;;13;12;0.000000;0;2.216.840;3.199.759;12;36.000.000;23;24.000.000;60;15;29;16.000.000
44.785.210;19.377.796;3.931.419;0.325000;4.602.808;47.577.954;29.250.000;48.816.667;58.033.333;19.750.000;8.825.041;17.803.839;15.148.663;11.012.649;4.911.249;6.101.400;8.716.165;34.833.333;6.083.333;5.783.333;56.728.100;;0.000000;;;8;26;0.062500;0;0.492647;2.877.465;2;37.000.000;20;25.000.000;43;9;23;27.000.000
62.299.575;5.566.374;4.355.112;0.646465;3.605.213;32.925.771;42.116.667;55.016.667;34.750.000;14.000.000;9.412.713;14.008.725;8.059.552;12.212.383;7.603.413;4.608.971;11.558.162;6.916.667;11.500.000;9.369.048;59.558.272;;3.000.000;;;7;30;1.000.000;0;3.146.531;5.906.138;7;60.000.000;6;16.000.000;35;12;21;29.000.000
48.290.619;6.392.857;4.599.344;1.076.923;5.667.872;52.549.019;47.250.000;48.166.667;71.833.333;;12.145.861;18.943.627;17.774.870;24.124.462;11.090.326;13.034.135;15.378.620;66.416.667;8.833.333;8.583.333;77.633.054;;6.833.333;;;15;14;0.000000;0;2.139.225;2.433.471;5;36.000.000;10;28.000.000;27;12;30;34.000.000
29.286.695;11.551.243;1.098.810;0.275000;1.448.697;62.728.225;86.413.131;69.656.566;40.372.222;25.055.556;21.067.182;29.016.531;10.168.169;11.937.188;3.618.959;8.318.229;9.597.435;17.883.333;6.416.667;14.419.048;69.531.892;;2.642.857;;;12;10;0.000000;0;2.078.213;3.336.118;1;30.000.000;17;16.000.000;60;6;17;11.000.000
27.000.721;8.522.551;3.044.989;0.546919;1.248.908;51.748.851;55.283.333;46.450.000;58.666.667;16.816.667;11.953.041;23.255.978;13.518.670;17.357.556;6.333.656;11.023.900;12.059.481;11.500.000;7.500.000;10.113.492;50.891.073;;2.000.000;;;5;9;0.000000;0;0.618347;4.366.327;4;31.000.000;38;10.000.000;41;8;20;10.000.000
