group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001,1939,88.6183331074264,33.3185849941479,4.10548997658838,3.3498776677656,0.247474747474747,4.44912009200802,28.9615743665135,38.9309523809524,34.602380952381,43.947619047619,21.0452380952381,8.35536857474284,8.62865065628224,9.79908804702135,9.42614338821795,5.14617288009342,11.6365343103462,290,24.0428571428571,7.9,6.49404761904762,40.6196118624692,22.4595238095238,2.66666666666667,30.7261904761905,28.8952380952381,5,10,0,0,0.229166666666667,2.70886354195178,81,10,30,10,9,20,5,20,13
s1a-002,1969,138.017368190469,45.8517334959353,12.8237484737485,7.01814939446518,1.77136752136752,3.26897999661158,56.1903310095328,48.4166666666667,56.4166666666667,72.9166666666667,27.6666666666667,12.1627657859856,19.9620503750299,18.6121917826942,19.1731568266465,4.41615042724883,13.3388347763348,305,47.0833333333333,5,8.78333333333333,60.1687293941383,18.5333333333333,5,24.7,22.3666666666667,9,8,0,0,0.787500000000001,3.54394256264966,151,6,26,20,19,66,6,17,17
s1a-003,1936,124.975648545433,43.5097701546404,13.9763753188676,4.28440803262785,0.608766233766234,2.18521241830065,42.7883030908986,58.45,57.8428571428571,48.6238095238095,28.9428571428571,12.5004652768972,16.9175020269341,10.7839541131857,11.9398175139274,4.00542739424319,16.7023812200456,291,50.2166666666667,4.33333333333333,8.84285714285714,55.549685557998,11.0833333333333,2.83333333333333,34.5166666666667,17.3,6,8,0.565873015873015,0,2.82269909594694,4.15728844169247,132,7,26,22,13,48,15,19,13
s1a-004,1999,117.221861477091,33.8951722754893,8.50766912825736,2.85375596625597,0.602777777777778,3.49823966882791,48.7321130836678,60.4,43.8452380952381,72.6857142857143,33.2690476190476,14.5194937200742,13.9534025614908,17.3812185290816,12.359689620889,4.93382352941176,15.9567036863392,331,45.5,5.16666666666667,12.75,62.4593304524554,17.0333333333333,7.33333333333333,34.8166666666667,24.4166666666667,9,5,0.0588235294117647,0,2.11331953071083,3.92893577011224,132,3,42,17,21,25,7,14,13
s1a-005,1939,144.796045803125,53.2321221985333,15.2645838638486,7.3981636898197,0.62878787878788,2.92707028265852,39.6608752996031,27.1666666666667,41.6833333333333,68.5833333333333,19.4166666666667,6.15808815367639,12.8113270466342,16.7770763550175,13.6255670054583,7.12592775581906,18.9482779865038,274,34.3333333333333,10.3333333333333,12.5888888888889,62.6737727352852,22.0666666666667,6,39.802380952381,26.6666666666667,13,12,0,0,2.21683982683983,3.19975850023804,128,12,36,23,24,60,15,29,16
s1a-006,1868,131.903754088301,44.7852099693953,19.3777956520604,3.93141858141858,0.325,4.60280819971223,47.5779540289283,29.25,48.8166666666667,58.0333333333333,19.75,8.82504064562888,17.803839052917,15.1486628567511,11.0126488707371,4.91124880731658,8.71616507548329,308,34.8333333333333,6.08333333333333,5.78333333333333,56.7280995961084,14.9166666666667,0,29.6666666666667,22.5833333333333,8,26,0.0625,0,0.492647058823529,2.87746453603231,112,2,37,20,25,43,9,23,27
s1a-007,1910,139.713527470645,62.2995753812452,5.56637426900585,4.35511222224777,0.646464646464646,3.60521310176042,32.9257706401972,42.1166666666667,55.0166666666667,34.75,14,9.41271349759706,14.0087245900478,8.05955233277215,12.2123832293101,7.60341256461192,11.558162344005,281,6.91666666666667,11.5,9.36904761904762,59.5582715141606,25.9166666666667,3,17.25,24.0833333333333,7,30,1,0,3.14653076392207,5.90613763153136,136,7,60,6,16,35,12,21,29
s1a-008,1945,156.552103452103,48.2906191031191,6.39285714285714,4.59934371184371,1.07692307692308,5.66787240537241,52.549019036519,47.25,48.1666666666667,71.8333333333333,30.9166666666667,12.1458610833611,18.9436272061272,17.7748695748696,24.1244616494617,11.0903263403263,15.37861999112,325,66.4166666666667,8.83333333333333,8.58333333333333,77.6330544455545,10.75,6.83333333333333,17.9166666666667,29.75,15,14,0,0,2.13922466422467,2.43347069597069,156,5,36,10,28,27,12,30,34
s1a-009,2024,122.307017436707,29.2866950987942,11.5512428318156,1.09880952380952,0.275,1.44869727047146,62.7282250725228,86.4131313131313,69.6565656565657,40.3722222222222,25.0555555555556,21.0671815430221,29.0165305859834,10.1681685731502,11.9371877108931,3.61895871766415,9.59743489469084,352,17.8833333333333,6.41666666666667,14.4190476190476,69.5318917952039,32.0690476190476,2.64285714285714,37.5952380952381,25.8619047619048,12,10,0,0,2.07821300498252,3.33611805143245,154,1,30,17,16,60,6,17,11
s1a-010,1868,103.771900619593,27.0007207761438,8.52255078255078,3.04498875307699,0.546918767507003,1.24890844449668,51.7488507751953,55.2833333333333,46.45,58.6666666666667,16.8166666666667,11.9530413585122,23.2559783914579,13.5186698334757,17.3575563162328,6.33365647424471,12.0594808554067,278,11.5,7.5,10.1134920634921,50.8910727446659,18.75,2,47.1,33.5666666666667,5,9,0,0,0.618347338935575,4.3663268020194,123,4,31,38,10,41,8,20,10
s1a-011,1987,126.485597981372,43.0719202577825,7.9976213114371,2.31615329115329,0,1.76575646575647,51.5052810027967,48.9095238095238,71.8119047619048,46.3333333333333,32.6333333333333,12.8921945754554,25.909977364858,10.9422679400043,14.9668066794232,6.14322579857083,12.4926936693347,338,13.4,6.86666666666667,12.2001082251082,60.4492497327291,16.2333333333333,0,26.7333333333333,23.25,1,10,0,0,0.97384925016504,4.14449478820188,148,8,27,19,5,43,9,18,18
s1a-012,2024,129.330528087685,34.5785728403527,5.84946275946276,6.26549019607843,0.0476190476190476,5.0429996749037,66.9316631610887,55.6738095238095,81.9619047619048,55.7380952380952,22.202380952381,15.9982323458562,31.6906148174102,15.2218706288975,12.4107438313321,5.74298729048729,17.2976815184013,366,32.7690476190476,5.66666666666667,11.777380952381,76.3488915136802,20.7333333333333,2.66666666666667,40.5119047619048,19.7,13,15,0,0,1.12380952380952,3.50254342063166,166,6,32,18,22,35,9,18,15
s1a-013,1914,137.449605081881,40.0389104316736,6.53385868517448,2.23396464646465,0.346464646464647,5.3767316017316,54.4368352235999,54.9833333333333,56.1666666666667,67.0166666666667,23.5,14.1362829980477,17.1695276945277,18.1919372294372,20.5769044251242,9.06441007822587,14.736596225412,311,29.5,11.1666666666667,8.5,70.2999315399083,28.6666666666667,5.83333333333333,19.3333333333333,31.3333333333333,6,25,0,0,2.49491341991342,3.3703947797988,135,12,33,8,18,40,22,36,27
s1a-014,1929,132.022688250301,45.1770414424271,11.5306027306027,4.82553093042224,0.0909090909090909,4.6936511272189,44.4280504480414,44.0833333333333,45.45,62.3833333333333,18.9166666666667,11.1284704601571,14.1928617134499,16.9030364314572,12.7200042746398,5.97844860808416,15.1229620796487,307,38.5,4.83333333333333,8.11666666666667,62.5950398026317,12,0.5,22,34.3333333333333,6,13,1.46785714285714,0,1.90037185037185,8.57647432826966,115,14,65,12,11,63,16,29,8
s1a-015,1926,82.7013528892941,26.7975335224484,6.79473722900193,7.11077569088405,1.37296037296037,1.20298134231958,41.8915403756348,54.2888888888889,36.0944444444444,54.6888888888889,13.4222222222222,12.0551257879044,17.2235946478594,11.2492242487831,5.21089182197928,3.49352382777305,10.6780097906762,289,27.9166666666667,5.03333333333333,13.3662698412698,43.8981903158645,27.6166666666667,1.33333333333333,25.1166666666667,42.9833333333333,1,6,0,0,0.1,3.00649340339743,91,7,34,10,4,19,5,31,10
s1a-016,1975,120.538515913367,33.3379294894971,10.3086567296947,4.51477591036415,0.383333333333334,3.35449713685008,49.8801264548134,81.5190476190476,57.652380952381,36.952380952381,18.1666666666667,18.8959957681538,18.3062601826988,9.26609200468227,8.95236234353881,3.75185729303376,12.9458061225699,317,27.6166666666667,9.58333333333333,10.4095238095238,67.9395673506365,31.6666666666667,2.5,29.1666666666667,39.15,2,8,0,0,2.78094725322986,5.05154625068418,130,5,41,19,15,38,12,32,16
s1a-017,1926,131.600897147751,57.316776949849,6.12579365079365,5.32046327941065,0,2.62493894993895,44.1832327137274,40.4,80.65,28.7833333333333,21.7,9.52169203539913,26.4236705960542,6.11298108238511,13.1153999941071,3.2462848986762,18.2130084088598,265,9.33333333333333,9.5,13.7166666666667,55.0429265530016,16.3666666666667,2.5,35.7333333333333,21.8333333333333,6,14,0.611111111111111,0,1.64646089204913,6.75839223578354,115,12,57,20,17,42,5,18,21
s1a-018,1889,152.127069341016,57.249247248675,7.55414169164169,12.7885332059245,0.924404761904762,5.12207602339181,45.9439837799931,56.1666666666667,57.75,45.4166666666667,23.8333333333333,14.983495159811,17.2031091565972,12.1008229207126,14.2540332785494,6.29728724680338,16.1023102066073,314,33.7,5.08333333333333,12.7857142857143,73.0696471221503,19.5,4.16666666666667,15.0095238095238,27.1261904761905,9,12,0,1,2.03730158730159,5.491874908082,160,7,41,9,19,26,13,23,26
s1a-019,2003,105.819561907155,33.0477801743182,0.462932900432901,1.919508530685,0.772222222222222,2.90268290111744,63.1406956287329,61.7642857142857,83.15,42.852380952381,32.602380952381,15.0901074524696,36.3016006895554,10.0086666087555,15.0500325201059,6.99044368788552,10.3607641003536,315,39.1,5.83333333333333,6.03333333333333,57.0921496456316,19.3166666666667,5.53333333333333,34.85,21.1666666666667,4,11,0,0,0.122258064516129,5.09287177751175,123,4,35,22,7,73,8,17,12
s1a-020,1979,123.682073317655,30.6685140579322,7.66735527544351,6.37993760052584,0,2.22978410478411,58.6013515647467,64.4333333333333,79.3166666666667,47.1,24.1,16.5060068270746,24.7157063808598,13.3721278319104,12.141572724661,5.13481559290383,10.3243421409982,373,18.75,9.58333333333333,11.65,73.2046312596185,17.5333333333333,0.5,18.1,31.9166666666667,7,19,0.233333333333334,1,1.43554819363643,5.26994436722698,138,2,37,20,19,36,6,21,21
s1a-021,1996,142.458059587471,35.3471673751086,8.50485527544351,6.20153457653458,0,4.48275335775336,61.5301296742473,78.5,71.1833333333333,49.4833333333333,38.25,21.2675979249509,24.6983673189556,12.2030098985981,17.14725176784,3.75794760794761,14.8573240485005,343,43.2333333333333,5.08333333333333,11.0928571428571,81.4587851690793,17.3333333333333,3,33.2,29.15,5,17,0.333333333333333,0,2.88043345543345,5.64429736929737,162,9,30,17,19,43,19,29,23
s1a-022,2013,101.34015800869,30.2125043066528,2.23519027269027,4.14772862465553,0.398412698412699,3.28056934747044,51.3872122623974,30.6083333333333,79.9607142857143,61.4535714285714,20.1166666666667,10.0357526444667,24.0540834682075,14.8916884848976,9.91074759691633,4.43040517789744,9.70421539135541,351,45.9083333333333,3.28333333333333,10.3928571428571,58.9817158324308,12.5583333333333,0.333333333333333,30.6166666666667,35.65,4,3,0,1,0.841856243172033,6.62969408758883,129,5,34,19,10,24,4,17,9
s1a-023,1903,133.494878560552,57.7440436584399,3.8109649122807,8.74530777530004,0,5.19805137672785,50.1124331507846,41.4333333333333,61.3,56.6666666666667,26.4166666666667,10.6963939225549,22.8271001444376,14.785548030401,13.0653450307862,7.08817473376297,13.3249072607819,305,16.6666666666667,10.6666666666667,11.4833333333333,58.8745249590451,13.0333333333333,1.75,21.5,29.95,7,16,0,0,3.4736896273661,6.04409006026653,141,11,52,9,14,36,7,22,16
s1a-024,1922,99.5407126925749,29.2236029537195,9.76492613634668,6.96117169126537,0.445512820512821,3.09832909746703,41.0907249606266,60.85,23.4833333333333,56.6833333333333,22.0166666666667,13.8694914671639,12.4626030814672,13.4312032095683,7.24912268142004,3.31083372247165,9.69268605511852,302,35.0833333333333,19.4166666666667,10.1119047619048,53.3030609210887,19.25,2.25,39.7,26.9166666666667,6,6,0.322377622377622,0,1.35864602076349,5.11418486907617,111,3,24,24,12,21,3,17,16
s1a-025,1926,147.571526645869,61.4834757304959,10.7244930508088,4.26194083694084,0.177777777777778,1.07308802308802,70.3781368743056,28.0833333333333,82.3333333333333,63.8333333333333,35.4166666666667,7.84114357864358,42.5193129368052,15.3448157234922,19.4543676911324,13.1819799481564,13.0869536294459,286,52.8333333333333,2,8.98333333333333,55.9091901734317,7.33333333333333,3.66666666666667,30.75,25.3333333333333,13,7,0,0,0.521703296703297,5.11214659523483,151,10,46,26,21,60,14,26,8
s1a-026,1956,118.442597423291,42.0966265401788,8.35303764862588,7.44365664864891,1.28089133089133,3.62945845004669,43.739917807548,59.85,71.5,39.5333333333333,22.4166666666667,13.2364162123753,19.5592998504763,9.40224238975753,9.09215252262432,5.19313545931193,14.9432231023714,278,33.4166666666667,16.8333333333333,17.45,58.9007807118623,19,10.3333333333333,22.5833333333333,27.9166666666667,16,8,0,0,1.15064935064935,4.70460047199178,90,9,50,9,29,59,7,18,19
s1a-027,2014,83.5658522286839,20.0428945133636,4.7193095144894,2.40551586559093,0,1.69280889389249,55.3551130334021,59.709632034632,60.2405844155844,49.2997835497836,16.6258658008658,14.4322035580099,28.7471765370797,10.551526633557,5.4916755685443,1.86819647351347,8.75219714162423,377,23.5166666666667,7.93333333333333,10.1464285714286,53.3119726322865,22.475,1.125,38.6,30.225,2,7,0,0,1.35657485789065,5.48394594266192,118,2,25,19,5,26,6,21,7
