group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,1733,99.02247404797569,24.30474821404862,17.140754859175914,2.8201724630174883,0.12428799270904531,2.470989890344203,42.887586021682644,47.92619047619048,27.517857142857142,63.679761904761904,27.66785714285714,13.059390945571606,12.96738365576074,15.438449873850828,10.82431469209907,5.48694401176106,5.3373706803380125,9.26453600046646,278,30.183333333333334,4.0,13.981547619047616,45.5264658064616,14.25,0.733333333333333,29.93333333333333,18.616666666666664,5,3,0.25,0,1.0177530057325455,1.4446034232001606,127,2,17,18,9,29,6,8,10
s1a-001_2,307,11.912683843933845,1.7252768065268078,4.0,0.11421911421911429,0.0285714285714286,0.18925865800865818,7.941755466755467,12.383333333333333,4.6,4.666666666666667,0.75,3.6781170218670214,3.322294372294372,0.8163440725940727,0.7873577811077812,0.536838161838162,0.2505196192696192,0.3949030136530129,51,2.861111111111111,0.5,0.869047619047619,5.400049256299256,1.920634920634921,0.0,5.277777777777778,2.988095238095237,0,1,0.0,0,0.3815656565656565,0.8153769841269842,21,0,1,2,2,2,1,1,0
s1a-002_1,1816,74.84195930684471,17.93403653922411,16.475487407495798,1.9735660472267014,0.0588235294117647,2.083586815791089,26.495152807041887,35.58246753246753,15.684523809523808,42.41075036075036,17.08813131313131,9.26476998369321,4.98615202135326,10.0945067881154,6.633130801513682,1.7642566495383598,4.868874151975321,7.093338000691553,289,21.487445887445887,1.2,8.85126262626263,33.632637891944455,11.397402597402598,1.2261904761904758,31.776406926406928,20.462987012987014,0,2,0.0,0,0.7499723606953725,1.3841661022156386,86,2,23,27,2,20,7,9,1
s1a-002_2,158,4.15537084398977,1.9503836317135557,0.0166666666666667,0.0,0.0,0.1,3.461849957374253,5.133333333333333,3.95,0.25,0.25,0.9546035805626598,2.430434782608696,0.0333333333333333,0.1833333333333334,0.1333333333333333,0.05,0.5546035805626595,21,0.9,0.0,1.736111111111111,2.004987212276215,0.5,0.0,3.0,1.933333333333333,0,0,0.0,0,0.0,0.0,7,0,1,3,1,0,0,0,0
s1a-003_1,1656,76.95979285978882,17.36862545818436,21.082835998611863,3.083122835937981,0.2596690033313399,1.0247402314697711,24.86646217548783,42.02197802197802,21.797893772893772,31.67765567765568,23.025732600732603,9.008051470372758,7.149799597077704,7.046793808790236,6.732888457735343,2.4690368506525724,4.263851607082771,8.118374681504818,252,12.251190476190475,0.0,6.129166666666666,31.775442945257257,13.052380952380952,5.066666666666666,27.13095238095238,22.71904761904762,4,4,0.0,0,1.141608946608947,0.2741013071895425,93,2,19,16,5,12,3,8,6
s1a-003_2,338,15.395135501753149,3.7851295763060455,0.6909090909090909,0.0,0.0,0.42500000000000004,9.29482404850052,7.65,10.283333333333333,4.733333333333333,4.533333333333333,1.7475081291257764,6.107863704922529,1.1375291375291368,3.643236665295488,0.8693438914027143,2.773892773892774,1.7252203678674265,44,1.4,3.2,1.083333333333333,7.275860169242523,1.7,1.0,8.75,7.15,0,2,0.0,0,0.3736288221582339,0.31068931068931077,22,0,10,3,0,8,2,4,1
s1a-004_1,1977,89.03968864946305,16.95970983064894,13.942832167832169,1.4805514584393895,0.111111111111111,0.5997474747474746,60.37894037103084,44.92619047619048,74.50952380952381,40.17142857142857,28.52142857142857,9.393714100084928,39.186556759268264,9.38514331628647,9.728106451879334,1.5747362596933532,8.153370192185982,10.840086830033172,310,11.25,6.499999999999999,16.45238095238095,48.4090401991026,22.316666666666663,2.166666666666666,30.116666666666664,29.20238095238095,1,4,0.0,0,3.4517176612625367,1.801253784342019,133,5,43,19,3,54,3,10,5
s1a-005_1,1985,78.72514944498926,24.714152711509126,6.03971583971584,2.8448505721145043,0.0285714285714286,0.9154901960784312,27.490757890526957,73.98333333333333,23.249999999999996,34.016666666666666,22.916666666666664,13.330296245008611,4.604634830907714,8.33516510916632,4.713725012559355,3.2236063303999987,1.4901186821593548,11.576075500846038,270,7.916666666666666,8.45,12.273412698412697,43.25755588120494,35.483333333333334,1.1999999999999988,36.016666666666666,31.316666666666663,4,9,0.0,0,1.0844246031746034,1.9031084415736,81,6,39,21,8,46,5,20,8
s1a-005_2,81,5.964316239316239,1.588888888888888,2.5002136752136748,0.0,0.0,0.0,0.7852564102564109,2.5,2.5,0.0,0.0,0.3685897435897439,0.41666666666666696,0.0,0.0769230769230769,0.0,0.0769230769230769,1.416880341880343,10,1.0,0.0,0.333333333333333,1.798290598290599,1.0,0.0,2.0,1.0,0,2,0.166666666666667,0,0.29166666666666696,0.0,4,0,5,1,1,1,0,0,3
s1a-006_1,1793,85.09635535403808,25.34181574547606,8.925220771660399,1.7898943162101066,0.0909090909090909,0.7990079365079366,24.310198802782597,60.233333333333334,30.752380952380953,36.076190476190476,26.61190476190476,10.477858220024393,5.343060034507403,7.5291504006206535,6.836333850063827,3.092307161014255,3.744026689049573,11.429776133041715,265,10.95,7.366666666666666,10.466666666666663,43.9929849868378,37.4,3.0,32.03333333333333,23.599999999999998,5,4,0.0,0,1.620414569950174,1.6096948802831155,86,6,38,26,8,46,2,14,5
s1a-006_2,276,9.834595150590573,2.490661733384845,0.2,0.396928553267226,0.0,0.38888888888888856,5.421758414481527,8.166666666666666,4.416666666666666,9.083333333333332,3.25,2.27025188135028,0.8790293916609707,2.2724771414702776,1.3505263157894738,0.1526315789473684,1.1978947368421051,1.5002627781575153,44,7.583333333333333,0.0,1.033333333333333,5.793407101416255,1.25,1.5,4.75,1.833333333333333,0,1,0.0,0,0.0526315789473684,0.2853535353535352,13,0,3,4,0,9,1,3,1
s1a-007_1,1994,80.7419024351823,18.888853152615823,3.8235266766435885,1.8787288714340458,0.111111111111111,0.7413310808432756,31.002456300787355,35.01865079365079,29.738888888888887,73.85793650793651,45.894444444444446,8.372783427863483,5.7180990865946875,15.082352485290137,14.422532090940548,2.2588897069515768,12.16364238398897,14.796624928169765,332,49.47878787878788,0.0,4.04041514041514,43.35699051498233,13.952380952380953,4.25,49.635930735930735,30.735714285714284,4,4,0.0,0,1.3982070707070713,1.6402837902837895,87,12,24,40,4,61,3,12,7
s1a-008_1,1318,58.862512795555595,15.18177289524712,2.5967531007004685,1.4072566322566324,0.0,0.8514678875662857,27.235430331348354,25.88095238095238,29.63174603174603,41.46825396825397,15.535714285714285,7.126534556425862,7.220129169499878,11.143687664755438,3.7869476999272385,1.1565018315018316,2.630445868425407,7.470276279136827,239,22.01904761904762,1.5,4.356227106227106,37.297039099680774,10.787301587301586,2.127777777777778,28.848412698412695,20.705555555555552,0,3,0.0,0,0.2142857142857142,1.3169930630608377,57,6,17,33,1,62,5,12,6
s1a-008_2,114,6.757751796370723,2.695406256147944,1.441025641025641,0.5,0.0,0.5769230769230769,1.391297790019018,0.0,0.45,3.35,2.2,0.5,0.1101449275362319,0.737674601613221,1.0897290688850787,0.5649714735392481,0.5247575953458304,0.41896845694799656,15,3.3,0.0,0.0,1.531590830312058,1.0,0.0,1.4333333333333331,2.0,0,0,0.0,0,0.0,0.0,5,0,3,2,0,5,0,1,0
s1a-008_3,581,22.756779699059113,7.839629937056407,0.3192640692640693,0.1381886087768441,0.0,0.6525252525252522,10.63498041990689,7.364285714285713,14.647619047619047,16.90952380952381,9.626190476190477,2.0140082140082143,3.2808854952237305,4.149795751633988,1.511917943167944,0.4989989177489178,1.0129190254190263,3.408658416746652,98,17.48095238095238,0.0,0.7261904761904759,13.085967749570692,2.6428571428571432,2.785714285714286,19.78095238095238,7.511904761904762,0,3,0.0,0,0.2,1.142361111111111,29,1,6,12,0,18,1,1,1
s1a-009_1,1656,54.03847875208829,12.318303526701014,2.2179435516896815,1.700876079069428,0.5376539639697535,0.6778667429679168,22.25384750143541,38.01428571428571,32.5125,23.43690476190476,13.46190476190476,7.615583823925063,8.055435098840304,5.402226409428233,6.435022093186217,1.9514367182927916,4.4835853748934245,7.713132962939183,257,23.14978354978355,1.249999999999999,6.384523809523809,33.067209580511374,18.18333333333333,7.902380952380952,27.79220779220779,19.729004329004326,2,1,0.0,0,0.3453703703703703,1.730248969583335,71,2,19,17,4,7,2,6,1
