group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,2116.0,95.6361967377789,27.135193770577413,19.618441829616287,5.581917939982605,0.227777085,2.7999417903122823,27.42331132478288,68.42261904761905,9.40952380952381,29.47738095238095,15.127380952380951,15.922662725720162,2.4453146813172384,6.686811148233234,13.45978501421693,5.778237168083763,7.6815478480155726,11.33846300824827,285.0,10.627777777777778,0.8333333333333333,3.303113553190476,35.4227761217114,17.01581196588889,6.193589743666666,41.305128205128206,20.247435897435896,0,0,0.0,0,0.33,1.0918309918236577,104,3,13,13,5,122,3,9,2
s1a-002_1,1704.0,77.2663239453378,27.21869331146963,6.413464750917527,2.918176191760531,0.5033119663333332,1.5622280504398933,22.812813791050566,38.78333333333333,27.933333333333334,42.45,13.583333333333334,8.116171988168901,5.094791262370374,8.593517205618175,10.846561430691033,6.98938729267823,3.857174138367856,10.339062254368761,249.0,21.483333333333334,5.666666666666666,5.411904761904761,32.108300420268996,19.083333333333332,1.75,34.42619047619048,20.926190476190477,1,8,0.0,0,0.5008717433457556,2.3563130014880174,78,0,20,25,5,38,4,10,9
s1a-003_1,1961.0,175.1353678098647,55.160469776968334,21.712694409384802,10.905030977713352,1.770844434047619,6.890911354761904,55.41537050347874,38.266666666666666,70.5,53.25,18.333333333333332,12.645108401171868,23.51762214418093,14.581686017020688,29.112364755219392,12.947790075660562,16.164574679577274,19.610078153728644,298.0,9.75,10.916666666666666,8.366666666666667,69.02483886901298,8.5,0.5333333333333333,26.25,28.03333333333333,18,11,1.510353535111111,0,0.5944444441111112,2.4254329001904757,151,6,27,16,43,120,8,23,37
s1a-004_1,2109.0,193.04721504633028,84.92021252426694,18.876456062613475,18.61326503782134,0.4788461538461538,1.6288220551904762,43.16486922608012,79.5,44.86666666666667,45.88333333333333,27.383333333333333,19.415470589911607,9.726529089137172,11.048307421191696,25.83218357044712,9.165148340336195,16.66703523047741,17.726220311720397,273.0,10.5,3.0,12.2,63.418362886586856,15.583333333333334,0.0,47.0,21.333333333333332,8,13,0.0,0,2.6229168496349202,1.1976902720052909,203,15,35,26,11,169,5,15,15
s1a-004_2,44.0,7.583333333333333,2.2499999996666666,2.583333333333333,0.0,0.0,0.0,0.4999999996666666,0.0,2.0,1.0,1.0,0.0,0.41666666666666663,0.083333333,0.583333333,0.5,0.083333333,0.2499999996666666,6.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,2.0,1.0,0,2,0.0,0,0.0,0.083333333,4,0,1,1,0,3,0,0,3
s1a-005_1,2070.0,138.86771212390408,59.94508506081501,13.985790827417988,12.330588344080585,1.111111111111111,3.7547400707912084,39.8332265535704,64.7030303030303,44.15,35.265151515151516,20.515151515151516,16.503530937204165,11.43144604605168,9.920252567985347,14.120434404775207,6.635948854845627,7.484485550397112,18.039610515976864,280.0,17.1,6.6,8.369047619380952,50.673544686626514,8.085714285714285,1.5,45.345238095238095,17.35238095238095,7,10,0.0,0,1.4146825397777778,2.205652889625727,137,14,32,23,16,148,9,13,5
s1a-006_1,2487.0,69.25784698604626,20.580727961385186,4.452258635129576,4.565549918895672,0.5936600163492388,3.0450094915647226,27.84513061917478,34.67097069604762,37.64392551892552,38.48864468864469,13.032936507936508,8.879576247775336,7.968534262249097,8.226914686921553,6.636900525305804,3.39178565593686,3.245114866274629,11.670579311625806,367.0,25.654761904761905,4.117857142857143,5.890367965458874,37.58795986643732,23.34285714285714,4.176190476190476,42.010714285714286,28.910714285714285,0,1,0.0,0,0.3911736408571428,0.7426079757731157,52,6,28,28,1,63,1,12,2
s1a-007_1,1786.0,78.53562200382986,20.12293081380825,8.397708416516677,1.7895273846681095,0.024390243902439,1.880149347192118,22.76138565558988,43.45238095238095,29.935714285714287,31.242857142857144,17.108333333333334,10.064242904528806,6.220529919620949,6.329443437970819,14.832320063225689,4.552418908529099,10.279901154524518,9.759586644101581,260.0,28.11190476190476,3.75,4.196825396825397,34.865148236076095,12.483333333333333,1.0,35.977380952380955,30.520238095238096,1,2,0.0,0,0.884282384168831,1.508718548117438,65,4,29,26,4,50,7,21,2
s1a-008_1,1689.0,68.15140407423004,23.112229518766036,5.52378441873627,3.07871549577028,1.0159090916666667,1.3788365704316565,22.17387344730682,45.3547619047619,16.666666666666668,46.153571428571425,22.827380952380953,8.882851061044663,3.3018786775873012,9.48538838509675,9.555907622960795,4.735562534775853,4.820345088232681,11.043301193843398,235.0,16.633333333333333,1.5333333333333332,8.069444444444445,29.95948251279602,18.28333333333333,1.0833333333333333,36.93333333333333,22.683333333333334,1,7,0.0,0,0.9606351226146631,2.15181513533273,63,11,9,18,7,47,5,22,4
s1a-009_1,2893.0,167.62367905757662,69.9795275294581,15.543250204043234,3.9707870902953353,5.649936868587301,3.988816344984071,50.63645968570748,49.16904761904762,48.11666666666667,89.13928571428572,36.12619047619047,10.985938605423001,11.84610762609605,23.979873878649354,20.44619836806222,10.396095330341367,10.050103039188496,17.619509626657667,451.0,23.444444444444443,3.583333333333333,8.892857142857142,61.6547029502488,19.5,1.5,45.99444444444445,37.638888888888886,6,8,0.8,0,0.5307307307037036,3.9940826326507377,173,7,32,34,11,115,5,16,14
