group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,1570,100.4546063276468,28.514822019093376,1.132834406972338,3.8389895935993246,0.267857142857143,3.5896191369017463,34.257133208050625,54.25,40.416666666666664,28.499999999999996,13.833333333333332,13.23156932604026,12.389224500802438,6.595664761024536,15.182994748294531,6.873454466370685,8.309540281923846,11.932519856206795,261.0,12.916666666666664,12.166666666666666,9.709523809523805,55.62395515328656,19.5,3.5,17.45,20.0,4,19,0.2,0,2.1897186147186147,1.6498277578301808,89.0,10,25.0,7,8,43,7,19,29
s1a-002_1,1569,124.73879333085216,59.08969020229856,14.486668696800276,4.027235672823909,3.692857142857143,1.7133874897032793,17.90441967217509,20.0,19.666666666666664,50.08333333333333,12.0,4.430036849115796,3.830120141296612,8.478872516372517,14.000701097148466,13.859986533933904,0.14071456321456285,18.640313717929818,199.0,29.916666666666664,7.5,2.95,36.661733334604854,13.25,1.5,26.916666666666664,27.083333333333332,3,6,0.0,0,1.2762973137973144,0.44444444444444464,94.0,18,27.0,11,6,47,6,27,7
s1a-003_1,2181,137.43453097485582,36.28863704201732,8.773860306360307,5.125597019304115,0.676190476190476,4.599208977297214,45.239341657556466,53.67777777777778,59.705555555555556,54.02222222222222,29.916666666666664,12.100108954512981,15.53896065302311,14.47847162821995,13.35006500918746,7.729268425310383,5.620796583877078,16.308996075989374,373.0,11.133333333333333,21.733333333333334,17.651190476190475,79.02196861729074,32.759523809523806,5.366666666666667,32.58333333333333,28.609523809523807,11,11,0.04,0,0.7935961699119592,6.288373146461381,128.0,10,36.0,28,19,32,8,24,15
s1a-004_1,2202,89.84010645984583,30.191563477460807,6.438917205882309,4.033207430384877,0.1476190476190476,3.6917069444928177,27.344223911781288,43.21120448179272,29.86157796451914,42.36017740429505,17.188888888888886,10.050705489078757,6.120089065532935,9.656686799714967,12.90965125061706,2.0370205811224125,10.872630669494647,11.159423261689044,331.0,24.73333333333333,2.25,5.828030303030302,40.29997452588565,11.392857142857142,6.833333333333334,29.83154761904762,33.512499999999996,2,2,0.1165540540540541,0,1.9279999948343605,3.884425155728494,75.0,3,26.0,24,4,81,2,19,4
s1a-005_1,1940,55.44354961469515,19.296926180125816,3.5704343988459017,4.36227573604496,0.4640271493212671,2.1393803789131147,12.047955796408022,33.147619047619045,19.00952380952381,12.826190476190476,7.85,5.00093467035191,3.856577260886043,1.8994956050351781,7.953286512020095,5.56786466569036,2.3854218463297365,9.622132059276288,259.0,8.095238095238097,2.183333333333333,7.394047619047618,24.319248334755034,5.783333333333331,6.183333333333333,24.104761904761904,29.413095238095234,8,6,0.1759715380405034,0,0.1370199692780337,0.6260320025162166,43.0,2,23.0,10,11,7,5,11,1
s1a-006_1,2061,72.43418933012116,26.636887939506632,4.708915143214174,8.023378818642692,0.598758061160807,4.259658062739589,18.889591458605857,22.666666666666664,14.892857142857142,35.31666666666666,6.333333333333333,4.877199807723788,2.4256375267244836,9.944685470968974,14.46100027254662,7.715014874738974,6.745985397807649,12.847107028404713,225.0,12.55,1.0,4.192857142857141,26.62738597485373,11.666666666666666,7.908333333333331,44.34166666666667,19.275,4,1,0.1875,0,0.737780255171559,1.1942468415816325,66.0,8,29.0,11,6,25,1,9,4
s1a-007_1,1677,98.14375793560004,41.33899302688776,6.53538961038961,2.6533144633144623,0.4063795853269539,1.435583349399139,31.427710439947287,55.61666666666667,36.83095238095238,37.73571428571428,32.70238095238095,12.045689421084163,9.007816855580014,8.422961473224632,12.271914707572602,5.775674130937288,6.496240576635314,11.173693625009413,273.0,0.5,0.833333333333333,7.374999999999999,37.997460590750066,8.075,0.166666666666667,41.875,21.8,18,7,0.0,0,0.7355218855218858,2.8199834424834425,100.0,8,23.0,15,4,29,2,10,10
s1a-008_1,2209,98.43787233489009,39.3006064302099,10.434121651404489,4.216535349166736,0.1145833333333333,1.5527233370810665,26.32707592406391,54.28474025974026,33.14404761904762,45.2556277056277,26.563528138528138,10.134820480893826,5.4402640194551415,9.409058776560277,9.284746080543227,4.718460010695383,4.566286069847846,15.29702764695644,346.0,5.149999999999999,1.7,4.566468253968254,39.418398172732466,5.12063492063492,5.349999999999999,52.542857142857144,11.864682539682537,13,6,0.2,2,1.8186364989815242,2.1627240302333064,105.0,6,19.0,22,2,33,4,13,4
s1a-009_1,2123,70.50294309169496,24.3510425752378,3.367891970641472,3.527142412220101,0.5118886353804275,5.17490640899816,25.570565267762053,51.26031746031746,26.941666666666666,18.877777777777776,7.677777777777775,11.891809781148638,8.04645320073391,3.4360705208618327,10.142890600605577,5.867823663472078,4.2750669371334995,13.60246989960872,267.0,14.7,2.8928571428571432,7.516666666666666,32.55778461187678,25.376190476190477,2.666666666666666,52.44523809523809,34.91190476190476,6,9,0.1,0,1.0699346405228765,2.4846529440999747,42.0,5,29.0,43,8,20,2,9,9
s1a-010_1,2047,72.74021244594411,21.180154791419486,0.6322144769725415,2.3789716491674286,1.7834939905061853,1.9692243199524313,27.709809696299757,57.60613275613276,19.09090909090909,38.15995670995671,24.905988455988457,12.9165444329726,4.395439385088562,8.700909416643718,8.59631183748746,2.1542957768226785,6.442016060664782,8.215711143756263,339.0,33.6702380952381,2.866666666666666,14.056335331335331,42.331531340064615,16.776190476190475,8.060714285714283,38.5797619047619,21.98928571428571,8,5,0.2632275132275133,0,1.4830003860864345,4.270138537248267,65.0,3,23.0,38,4,14,7,21,6
s1a-011_1,2412,87.09846543386989,29.88413436521495,1.6545579019156473,7.532407727039873,0.670844496298217,2.415058849463617,24.478601371578986,51.909523809523805,34.06666666666666,39.971428571428575,17.909523809523808,8.488975941696998,5.949989432641716,7.8812870730966615,8.840214765669351,4.65861223227149,4.181602533397862,11.929017933365134,365.0,3.699999999999999,3.333333333333333,10.241666666666667,46.71955840106994,21.59285714285714,12.683333333333334,36.56666666666666,38.042857142857144,7,12,0.0,0,1.2619754276731026,2.5351359254524604,92.0,2,14.0,17,11,23,1,18,11
