group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,2016,132.54833970209359,40.94516021646053,0.0769230769230769,3.682862459178248,1.3101190476190476,2.2853159697199956,35.86258448637706,27.166666666666664,28.0,95.41666666666667,44.5,5.3930673858305465,6.935599531187768,21.07823256808551,19.657332286736313,7.053230832634859,12.604101454101453,14.575471369875395,323,61.5,3.5,12.08333333333333,71.86892412197366,18.95,3.0,28.5,39.25,16,11,0.0,0,1.164423076923077,3.2122155622155626,102,7,22,15,14,88,17,21,16
s1a-002_1,2023,108.8867991213386,30.49737576143536,0.26111111111111096,2.260632350106034,0.9246794871794871,2.76218049408452,29.06683004965126,15.2,33.96666666666667,79.35,47.71666666666667,3.305298166745535,7.535199011514804,16.7792758348602,15.861483812072048,5.2390681803181804,10.622415631753867,16.243863255430597,347,78.925,6.699999999999999,11.171825396825396,62.26682843672008,11.25952380952381,1.9761904761904758,37.574999999999996,31.719047619047615,18,11,0.0,0,1.1565998329156226,1.3250611376927162,59,7,28,21,15,59,9,14,19
s1a-003_1,2192,122.32327168964032,44.98627194365959,0.16233766233766228,4.93057307616131,0.32692307692307687,2.3208661164543516,33.053724926979434,13.733333333333333,35.9,98.31666666666666,42.56666666666666,4.2030773692538395,7.651643726643727,19.57943086019311,13.852811905443485,5.611592014223594,8.24121989121989,13.077498438854796,344,83.58333333333333,5.0,5.733333333333332,63.3218501781996,13.083333333333332,4.833333333333333,37.83333333333333,27.916666666666664,5,6,0.0,0,1.3481720950761202,3.230584695899098,94,3,40,24,5,73,12,20,9
s1a-004_1,1988,89.11931520490647,32.02111574983698,0.0416666666666667,4.71361163053854,0.8531005544163436,4.347988136099255,32.641830877539924,30.492857142857144,32.766666666666666,65.6047619047619,20.45,7.122848007498698,8.058951019105482,16.14825624413725,7.984743831670739,3.2287904581944824,4.755953373476257,12.067865561386562,323,66.06666666666666,2.25,4.562179487179486,49.071788956732085,17.866666666666667,5.499999999999999,54.43333333333333,29.349999999999998,14,4,0.0,0,1.3652689415847314,1.793712748604053,63,4,15,42,13,64,9,20,5
s1a-005_1,2134,151.83986283324518,62.37299784408918,0.0,2.6534524685840473,0.6833333333333333,5.046273008037714,40.72670911389952,14.583333333333332,34.916666666666664,93.33333333333333,44.75,4.941179082355553,7.662404159308184,24.256994884200765,15.699156192964242,6.827912670404933,8.871243522559311,18.1721427823982,340,60.83333333333333,0.5,16.177777777777774,73.76770879619177,11.249999999999998,9.583333333333332,59.916666666666664,36.916666666666664,15,14,0.0,0,2.3358760520525226,2.0100140056022426,104,12,28,39,17,83,7,14,18
s1a-006_1,2123,99.06505702672517,32.92701667936734,0.42500000000000004,5.327825763087912,0.5029089172580692,1.8762486767282174,28.7950411398348,14.166666666666664,38.25,68.2,40.35,3.831719550742322,8.949785301113842,13.508101400285684,12.250222282144671,3.595055694991757,8.655166587152912,13.120678805492295,331,38.46666666666667,4.458333333333333,11.878571428571426,53.46281806521317,20.624999999999996,5.366666666666667,31.766666666666662,35.69166666666666,17,11,0.0,0,0.5536177547942249,2.7502627764392473,65,2,23,14,17,47,5,21,16
s1a-007_1,2072,102.84389116985257,33.46530152028146,0.0,4.183631711899837,0.5793875760255072,3.572966201010468,35.44611714136309,13.683333333333332,31.066666666666666,103.26666666666667,39.46666666666666,3.0692851429616135,7.196873645629048,23.617440315254388,8.234720658450243,3.2357148598527914,4.999005798597451,11.883206809535617,340,60.85,7.333333333333333,11.135714285714283,61.14386899112086,26.98333333333333,3.2,41.607142857142854,31.3,3,6,0.0,0,0.6233516483516484,2.584194460510251,87,5,27,40,8,48,4,19,8
s1a-008_1,2112,120.4460291481321,50.675073810381086,0.0,3.4995833689873956,0.333333333333333,2.105527993043137,31.25381166865359,5.166666666666666,26.96666666666667,95.65,62.766666666666666,1.0461723547143111,6.571337965098578,20.45835596815639,14.011008222885096,6.226298600675473,7.784709622209622,12.378395914233051,314,84.26666666666667,0.0,10.76111111111111,55.75994711486592,11.499999999999998,2.733333333333333,30.983333333333327,22.333333333333332,15,9,0.0,0,0.6611688749846644,1.937725787992751,91,3,21,20,15,49,9,14,12
s1a-009_1,1974,100.21079601474375,38.25753102302318,0.0,4.560168513976563,0.8812089490968803,1.6349252197829658,21.480822302022684,19.2,33.41666666666667,35.38333333333333,25.883333333333333,3.7144512987274467,7.2908286278564916,7.145938794558579,15.764399287579858,7.693133526086144,8.071265761493713,16.457871596025043,254,17.916666666666668,6.25,14.703968253968249,46.18886570414071,19.0,4.75,34.06666666666666,27.28333333333333,4,4,0.0,0,0.6469510881275593,1.7235262836578629,74,5,31,17,9,59,6,13,6
s1a-010_1,2031,110.98375140450352,43.850444742872725,0.0,3.8675590920946963,0.125,2.387116489748069,30.74631062312749,12.033333333333333,28.53333333333333,82.95,48.93333333333333,4.0206233380146434,7.212947088906167,17.110486574766423,13.556382262102076,6.621797451201477,6.934584810900598,10.279389720734788,320,59.50476190476191,0.75,13.667965367965365,53.57692439952872,11.499999999999998,4.666666666666666,36.18571428571428,28.29285714285714,10,7,0.0,0,1.1980329167400106,0.6677489177489181,72,3,25,23,11,122,10,18,12
