group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,2244.0,118.76644270260101,29.69749021378605,26.697254875083026,2.4106169726331017,0.4974747474747474,2.649026382114618,35.81236949269765,39.98376623376623,37.53225108225108,63.63787878787879,21.763636363636362,8.514068318790155,7.83931283760678,14.28120072077223,8.76347413810969,4.405240740337751,4.358233397771937,17.76644383492868,348.0,33.65,1.583333333333333,6.266666666666666,53.608223475622246,16.183333333333334,3.866666666666666,26.75,21.549999999999997,15.0,10.0,0.0,0.0,0.5880341880341879,1.3800074627450667,92.0,13.5,28.0,10.0,23.5,83.0,7.0,17.0,12.0
s1a-002_1,2050.5,120.69051906272492,29.244447665811304,14.697487822108315,5.048437934614405,1.0588235294117647,3.4888212767624527,42.873870324149365,55.47380952380952,40.65952380952381,66.39761904761905,32.10952380952381,15.07386704538681,10.619187593452303,15.363568504386603,15.967828893755687,4.08051630953908,11.887312584216607,12.514800226906901,331.5,51.91904761904762,3.25,3.991666666666666,60.74229314258806,13.033333333333333,2.666666666666667,22.266666666666666,29.945238095238096,12.0,4.0,0.6587301587301586,0.0,3.39674573792221,3.3786278343204335,109.5,6.0,39.5,12.0,30.0,82.0,12.0,29.0,6.0
s1a-003_1,1735.0,89.53010922734246,30.51203345974892,8.05485120686467,6.5869515384569555,2.067721058897529,5.455838718607906,32.33082270079327,50.41428571428571,15.491666666666665,38.57857142857143,20.94404761904762,15.895674067524364,4.2138206083562135,8.995853389376142,13.09493906262869,6.116027638655346,6.9789114239733445,16.1712743615197,253.0,43.06190476190476,3.892857142857143,2.437878787878789,37.86828549810019,8.092857142857142,2.816666666666666,16.41190476190476,31.035714285714285,3.0,5.0,0.9753535353535356,0.0,0.6727011183910528,1.8205084505742395,95.5,14.5,15.0,18.0,12.0,64.0,3.0,14.0,6.0
s1a-004_1,3006.0,159.77757599862065,55.66962308815589,15.641363171428964,4.074501791780314,0.2344444444444443,6.699616939523387,58.89924249848014,67.87590187590187,34.83336940836941,90.96078643578643,46.20515873015873,22.27249247346689,10.533016132247546,23.42987717748407,15.38948985147481,4.0810286579555655,11.308461193519245,10.722780358653628,477.0,79.51666666666667,4.342857142857142,11.48089133089133,73.07709988756099,23.409523809523808,3.426190476190476,35.81666666666666,32.219047619047615,9.0,11.0,0.0,0.0,0.9197781385281386,3.960973980888169,182.0,3.0,34.0,29.0,15.0,72.0,6.0,19.0,21.0
s1a-005_1,1990.0,61.30414413568349,19.335901607305455,3.451545690740063,4.1852927806533815,0.279656862745098,2.4520473291444644,25.55345621718847,48.83095238095238,18.368650793650794,45.317460317460316,8.219444444444443,9.711692719077638,4.4638649641238635,10.111301515386904,3.855969009964686,2.303593396123822,1.5523756138408644,12.380686017921969,316.0,66.3858225108225,0.892857142857143,13.494890077243019,34.660727827673284,17.133766233766234,5.344480519480519,31.530194805194803,28.444480519480518,2.0,4.0,0.333333333333333,0.0,1.3290466233113294,4.024075890719966,54.0,6.0,37.0,25.0,7.0,14.0,5.0,13.0,2.0
s1a-006_1,3011.0,73.05296329366972,19.913813714149033,2.473538830442856,3.1757925125556725,0.5603603603603603,1.7948721378472798,25.334134601454494,34.39098124098124,31.414682539682538,45.61363636363636,25.534632034632033,5.998207511205676,6.53252037529746,9.467749241025782,11.621840476845213,3.727845867198922,7.893994609646291,13.311524285739605,462.0,25.812518037518036,2.300793650793651,8.056227106227107,39.043770272232614,15.731324231324232,4.318589743589744,44.473673548673545,40.011396936396935,8.0,1.0,0.0,0.0,0.39623787867043236,2.153207101284449,62.0,13.0,33.0,24.0,13.0,48.0,2.0,12.0,5.0
s1a-007_1,2040.5,70.63068933281806,17.554454789820603,9.43716639321222,3.233352338697364,0.4364935587761674,1.7417775352843432,25.89480305648729,32.47976190476191,10.923412698412697,52.978968253968254,28.90515873015873,8.173336128928621,2.51077781319402,12.327364695693943,7.421936077617784,3.001946281429662,4.419989796188122,9.279240084759625,358.0,65.66541514041513,0.583333333333333,2.41765873015873,36.21713207216745,11.925213675213675,1.694444444444444,34.56877011877012,23.665448440448436,2.0,1.0,0.0,0.0,2.3002612348093185,1.5842588373346158,88.0,2.0,14.0,18.5,4.0,20.5,2.0,10.0,4.0
s1a-008_1,1918.6666666666667,49.87887208756299,20.793727722156678,2.324126047703001,4.638854660768169,0.2791467304625199,0.744227597115528,11.768169861102523,19.043550893550893,15.888095238095236,31.90996225996226,5.724358974358975,2.5737794390623696,2.9942778433134363,4.742381554836165,7.314088046410084,4.509941053726281,2.804146992683803,8.577895495837382,242.0,13.616300366300367,4.5928571428571425,3.98225108225108,19.396490388595282,8.793589743589742,3.61529304029304,17.836263736263735,38.78461538461538,6.0,3.0,0.0620481927710843,0.0,0.2950999080808641,2.8502932291158367,34.0,5.0,19.0,12.333333333333332,5.0,24.0,0.0,22.666666666666668,5.0
s1a-009_1,2048.0,74.68211805508054,24.8421693937788,3.3395516033673927,7.454641822135829,0.0555555555555556,4.660624297689266,39.84740126051379,50.50876623376623,16.71046176046176,64.4760101010101,11.154473304473306,13.216533138272833,4.642419220687344,19.96070226046532,6.618065355237744,2.109092601584862,4.508972753652881,11.054178678329306,355.0,85.43333333333334,1.0,13.518650793650792,39.88233170269662,9.233766233766232,2.333333333333333,34.43268398268398,28.33268398268398,1.0,4.0,0.0,0.0,0.3653012622052869,3.043382356890422,97.0,5.0,19.0,24.0,6.0,15.0,2.0,17.0,3.0
s1a-010_1,2566.5,88.73776229934596,25.73273052134945,0.9644642193555242,3.5769953389690246,0.5664843928001826,3.289121316644201,40.57650468486013,57.028643578643575,28.117099567099565,85.45854978354978,21.98654401154401,12.145989586646134,7.002249197311118,19.59596362801236,9.733354882866594,4.665381324328694,5.0679735585379015,14.955058655343352,416.5,113.93333333333334,1.0,17.371031746031743,52.3072126757744,19.9,3.316666666666666,47.608333333333334,45.69166666666666,6.0,0.0,0.0,0.0,0.9399391529186928,3.831090706678943,73.5,5.0,26.0,48.0,10.0,34.5,8.0,31.0,0.0
