group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,1939.0,88.61833310742637,33.31858499414793,4.105489976588375,3.3498776677655995,0.2474747474747474,4.449120092008023,28.961574366513513,38.93095238095238,34.602380952380955,43.94761904761904,21.045238095238094,8.355368574742837,8.628650656282238,9.799088047021351,9.426143388217954,5.14617288009342,4.279970508124533,11.636534310346157,290.0,24.04285714285714,7.899999999999999,6.494047619047618,40.61961186246923,22.45952380952381,2.666666666666666,30.726190476190474,28.895238095238092,5,10,0.0,0,0.22916666666666669,2.7088635419517777,81.0,10,30.0,10,9.0,20,5,20,13.0
s1a-002_1,1969.0,138.01736819046855,45.85173349593528,12.823748473748473,7.018149394465184,1.7713675213675208,3.2689799966115753,56.19033100953279,48.416666666666664,56.416666666666664,72.91666666666667,27.666666666666664,12.162765785985604,19.962050375029918,18.612191782694207,19.17315682664653,4.416150427248827,14.757006399397703,13.338834776334778,305.0,47.083333333333336,5.0,8.783333333333331,60.168729394138275,18.53333333333333,5.0,24.7,22.366666666666667,9,8,0.0,0,0.7875000000000005,3.543942562649657,151.0,6,26.0,20,19.0,66,6,17,17.0
s1a-003_1,1936.0,124.97564854543343,43.50977015464044,13.976375318867582,4.284408032627848,0.6087662337662338,2.185212418300654,42.788303090898644,58.449999999999996,57.84285714285714,48.62380952380952,28.942857142857143,12.500465276897165,16.917502026934077,10.783954113185727,11.939817513927423,4.005427394243185,7.934390119684239,16.702381220045627,291.0,50.21666666666667,4.333333333333333,8.842857142857142,55.54968555799798,11.083333333333332,2.833333333333333,34.516666666666666,17.3,6,8,0.5658730158730154,0,2.822699095946935,4.157288441692468,132.0,7,26.0,22,13.0,48,15,19,13.0
s1a-004_1,1999.0,117.22186147709098,33.89517227548927,8.507669128257364,2.8537559662559664,0.602777777777778,3.4982396688279054,48.732113083667805,60.4,43.845238095238095,72.68571428571428,33.26904761904762,14.519493720074218,13.9534025614908,17.381218529081636,12.359689620888973,4.9338235294117645,7.42586609147721,15.956703686339239,331.0,45.5,5.166666666666666,12.749999999999998,62.45933045245537,17.03333333333333,7.333333333333333,34.81666666666666,24.416666666666664,9,5,0.0588235294117647,0,2.1133195307108346,3.928935770112241,132.0,3,42.0,17,21.0,25,7,14,13.0
s1a-005_1,1939.0,144.79604580312537,53.232122198533254,15.264583863848571,7.398163689819698,0.6287878787878795,2.9270702826585198,39.66087529960314,27.166666666666668,41.68333333333333,68.58333333333333,19.416666666666664,6.158088153676391,12.811327046634174,16.777076355017535,13.625567005458311,7.125927755819061,6.49963924963925,18.948277986503804,274.0,34.333333333333336,10.333333333333332,12.588888888888885,62.67377273528522,22.066666666666666,6.0,39.80238095238095,26.666666666666664,13,12,0.0,0,2.2168398268398275,3.1997585002380395,128.0,12,36.0,23,24.0,60,15,29,16.0
s1a-006_1,1868.0,131.90375408830113,44.785209969395254,19.377795652060357,3.9314185814185807,0.325,4.602808199712225,47.577954028928254,29.249999999999996,48.81666666666666,58.03333333333333,19.749999999999996,8.825040645628883,17.80383905291699,15.148662856751093,11.012648870737106,4.911248807316582,6.101400063420524,8.716165075483286,308.0,34.83333333333333,6.083333333333333,5.783333333333333,56.728099596108414,14.916666666666664,0.0,29.666666666666664,22.583333333333332,8,26,0.0625,0,0.492647058823529,2.8774645360323103,112.0,2,37.0,20,25.0,43,9,23,27.0
s1a-007_1,1910.0,139.71352747064483,62.29957538124519,5.566374269005848,4.355112222247774,0.6464646464646459,3.605213101760417,32.925770640197214,42.11666666666667,55.016666666666666,34.75,14.0,9.412713497597064,14.008724590047786,8.059552332772148,12.21238322931014,7.6034125646119195,4.608970664698219,11.558162344004987,281.0,6.916666666666666,11.5,9.369047619047617,59.5582715141606,25.916666666666668,3.0,17.25,24.083333333333332,7,30,1.0,0,3.1465307639220685,5.906137631531359,136.0,7,60.0,6,16.0,35,12,21,29.0
s1a-008_1,1945.0,156.55210345210344,48.290619103119106,6.392857142857143,4.599343711843711,1.0769230769230769,5.667872405372406,52.54901903651904,47.25,48.166666666666664,71.83333333333333,30.916666666666664,12.145861083361085,18.943627206127207,17.774869574869577,24.12446164946165,11.09032634032634,13.034135309135308,15.378619991119994,325.0,66.41666666666667,8.833333333333332,8.583333333333332,77.63305444555445,10.749999999999998,6.833333333333333,17.916666666666664,29.75,15,14,0.0,0,2.139224664224665,2.4334706959706947,156.0,5,36.0,10,28.0,27,12,30,34.0
s1a-009_1,2024.0,122.30701743670681,29.286695098794244,11.551242831815586,1.098809523809524,0.275,1.4486972704714642,62.72822507252279,86.41313131313132,69.65656565656565,40.37222222222222,25.055555555555554,21.067181543022137,29.016530585983357,10.16816857315016,11.937187710893145,3.618958717664152,8.318228993228992,9.597434894690835,352.0,17.883333333333333,6.416666666666667,14.419047619047616,69.53189179520385,32.069047619047616,2.6428571428571432,37.595238095238095,25.86190476190476,12,10,0.0,0,2.078213004982515,3.3361180514324538,154.0,1,30.0,17,16.0,60,6,17,11.0
s1a-010_1,1868.0,103.77190061959325,27.000720776143798,8.522550782550782,3.0449887530769884,0.5469187675070031,1.24890844449668,51.74885077519534,55.28333333333333,46.449999999999996,58.666666666666664,16.816666666666666,11.953041358512236,23.25597839145793,13.518669833475748,17.357556316232788,6.333656474244709,11.023899841988078,12.059480855406727,278.0,11.499999999999998,7.5,10.113492063492062,50.89107274466589,18.75,2.0,47.099999999999994,33.56666666666666,5,9,0.0,0,0.6183473389355747,4.366326802019401,123.0,4,31.0,38,10.0,41,8,20,10.0
