group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,1960,57.8193032018055,23.66828070047953,1.1253710389942424,2.1963674856703563,0.11948051999999999,0.532978252131313,13.78821057414804,46.36904761904762,12.583333333333334,15.25,8.916666666666666,7.53671045621588,2.031549991111111,2.650889713987075,6.046272378162851,3.4355140510853883,2.6107583292880636,8.747261581313829,272,27.15,2.45,10.24246031736508,26.979379083566748,11.85,5.824999999999999,22.675,26.7,6,1,0.0,0,0.3727946808836595,1.0546739809726111,62,0,14,19,7,8,2,4,7
s1a-002_1,1361,58.65318888538268,22.255789312376475,12.380158730444444,1.3608281258231762,0.3750260920415292,0.2498753131736694,11.650359870079095,30.828174603507936,15.147222222222222,15.542857142857143,12.661904761904761,5.388715747593507,2.3438736894752847,3.134487085818376,5.827875832862609,2.019337010671371,3.8085388220939187,6.031283266895577,195,9.034126984126985,1.75,2.1035714285714286,18.189365013434273,9.15,0.1666666666666666,18.436507936507937,15.119047619047619,1,2,0.0,0,0.0664869721473494,0.5443308624588936,56,1,7,20,3,12,1,7,5
s1a-002_2,643,20.14439436401647,8.629723419265881,1.3234629816930945,0.5944594058695651,0.052631579,0.2198058158695652,5.727012272133753,10.65,9.461904761904762,11.635714285714286,11.385714285714286,2.0711628837417226,1.5430643748354422,1.820919027886512,1.4043578003208554,0.8094676578681219,0.5948901426440878,3.712522440761609,91,4.0,0.0,0.9538461538461538,8.786850161443656,4.166666666666666,1.3333333333333333,5.5,7.75,2,2,0.0,0,0.2658730151111111,0.0454545454545454,16,3,4,5,2,4,1,3,5
s1a-003_1,2060,79.26570046324876,23.529524684433706,10.315526034744137,2.746657531343103,0.116666667,1.3623633145197358,25.137485975889902,47.59642857142857,26.08452380952381,42.84166666666667,35.63333333333333,10.390934802297863,4.677089268433467,8.936246466576504,6.885786964726162,2.476569912935719,4.409217052260408,8.550958420506628,340,16.321428571428573,5.416666666666667,7.319444444444445,38.53486277754001,20.816666666666666,1.1666666666666665,41.673809523809524,17.185714285714287,4,3,0.0,0,0.9571821156036838,0.9534012305016846,77,4,9,42,4,12,1,3,12
s1a-004_1,2008,65.82417782155136,24.563119166679893,3.8975759837726756,3.5849163962174524,0.6272012544117647,1.0120308840645995,15.12948077600733,51.687179487179485,14.237179487179487,16.79102564102564,8.566666666666666,8.184357871374047,3.033716228444618,2.7132599513473385,7.429884004644078,4.025032693141857,3.404851311812719,11.059157370645842,255,35.602380952380955,4.5,5.3028138529047615,29.93359866658393,7.35,3.0416666666666665,34.71388888888889,24.93015873015873,3,5,0.0,0,1.6165697641561745,1.1435188732429618,76,0,19,16,4,8,3,7,10
s1a-005_1,2112,99.61006420042705,30.34767271587411,10.957733144117437,2.139246677157315,1.7029947810164296,0.8757376402323231,36.897736091758574,70.53730158730158,18.572222222222223,59.0031746031746,31.45515873015873,16.675031108716873,4.16089740124326,13.40298238078418,8.786782108497752,2.6674899800129315,6.1192921269004055,8.493198216125258,358,49.83134920634921,8.087301587301587,9.438564213564213,49.51787623320686,15.167857142857143,1.5694444444444444,43.880158730158726,28.341666666666665,2,5,0.0,0,0.4546099296666666,1.3965560494347689,112,2,28,37,6,52,6,17,2
s1a-006_1,2067,111.06843517296177,28.747117683193913,6.0700353051471625,1.3068002338003009,0.0188679245283018,1.6480269727095125,45.39146361823483,68.18571428571428,25.176190476190477,68.22857142857143,40.86904761904762,16.597783993499228,5.723351782096459,16.904533282837374,11.153400095884336,4.0622175514401055,7.091182544567977,12.866273504451238,335,32.37619047619047,8.5,14.027380952380952,65.0978820868292,20.426190476190477,3.033333333333333,38.42142857142857,27.51904761904762,6,9,0.0,0,1.3756893108571429,0.8399977007312003,115,9,26,29,14,91,7,20,17
s1a-007_1,2062,109.07168243786396,31.823652751265232,3.2488895152923645,3.365341469241111,2.270075757111111,1.6920125689148626,46.23038919068807,64.59166666666667,37.233333333333334,69.55833333333334,34.975,15.910163656951593,8.654053844063068,16.83462462906336,10.400834576167417,6.323778244769177,4.0770563319735444,13.59906144485994,336,51.416666666666664,8.833333333333334,15.945238095238095,63.59830559454164,13.0,3.75,27.366666666666667,27.866666666666667,6,15,0.0,0,1.7711810654621578,2.2832264221904763,123,5,41,17,21,53,15,19,16
s1a-008_1,2195,110.3814178712385,32.40127255356686,5.321599975630112,2.020879520824436,0.710409729232323,1.095621957263786,43.168128978658466,66.34920634920636,34.319047619047616,72.86587301587302,36.37619047619047,15.280544700936739,7.808678175185667,15.633469205653697,9.308203894616009,2.3557938180792504,6.952410077990851,8.049692803476297,353,60.45,2.2,8.146825396825395,63.35034144419441,15.366666666666667,7.166666666666666,42.7,39.30833333333333,11,5,0.0,0,1.459100621959596,2.0901324785564617,117,2,31,34,13,64,6,16,7
s1a-009_1,1956,114.11817401577052,41.361230688536956,8.728009597575058,3.4649692406666666,0.9826807709806764,1.7163886761027076,28.763264537138877,41.166666666666664,23.7,58.18333333333333,33.016666666666666,8.904104283913817,5.254616158329882,12.652821678681155,18.8213114852094,8.639210368599999,10.182101116790996,12.80775047346762,262,68.23333333333333,2.5,4.928571428571429,45.20762224604786,10.2,4.458333333333333,39.141666666666666,22.9,4,7,0.0,0,0.9725449983333333,0.9541925465838508,103,3,32,26,7,129,12,17,7
