group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,2016,132.54833970209356,40.94516021474124,0.076923077,3.682862460031746,1.3101190476190476,2.285315969094304,35.8625844846944,27.166666666666668,28.0,95.41666666666667,44.5,5.393067385857849,6.935599529165121,21.078232567899693,19.657332284596468,7.053230831913929,12.604101450920634,14.575471365951001,323,61.5,3.5,12.083333333333334,71.86892412215114,18.95,3.0,28.5,39.25,16,11,0.0,0,1.164423077,3.2122155624126982,102,7,22,15,14,88,17,21,16
s1a-002_1,2023,108.8867991213386,30.497375760195265,0.26111111111111107,2.2606323497777776,0.924679487,2.762180494320855,29.066830048781014,15.2,33.96666666666667,79.35,47.71666666666667,3.3052981670794406,7.5351990115837495,16.779275834259863,15.861483812265243,5.239068179885114,10.622415633143921,16.24386325552736,347,78.925,6.699999999999999,11.171825396825396,62.266828436554576,11.25952380952381,1.976190476190476,37.575,31.71904761904762,18,11,0.0,0,1.1565998336349201,1.3250611374502923,59,7,28,21,15,59,9,14,19
s1a-003_1,2192,122.32327168971725,44.98627194488659,0.162337662,4.930573076845627,0.326923077,2.320866115688118,33.05372492581183,13.733333333333333,35.9,98.31666666666666,42.56666666666666,4.203077369521239,7.651643725957264,19.579430860755103,13.85281190540822,5.611592013625559,8.241219892893772,13.077498438328718,344,83.58333333333333,5.0,5.733333333333333,63.321850178458334,13.083333333333334,4.833333333333333,37.833333333333336,27.916666666666668,5,6,0.0,0,1.3481720955082237,3.2305846953502018,94,3,40,24,5,73,12,20,9
s1a-004_1,1988,89.11931520490647,32.0211157496635,0.0416666666666666,4.713611629361101,0.8531005542222222,4.347988136540182,32.641830875752476,30.492857142857144,32.766666666666666,65.6047619047619,20.45,7.122848007832217,8.058951018489447,16.148256244489907,7.984743830416268,3.228790456903125,4.755953373075914,12.067865560098031,323,66.06666666666666,2.25,4.562179487179487,49.07178895682299,17.866666666666667,5.5,54.43333333333333,29.35,14,4,0.0,0,1.3652689414920633,1.7937127478378192,63,4,15,42,13,64,9,20,5
s1a-005_1,2134,151.83986283324518,62.37299784371588,0.0,2.6534524679682536,0.683333333,5.046273008645661,40.7267091136007,14.583333333333334,34.916666666666664,93.33333333333333,44.75,4.941179082657584,7.662404160690263,24.256994884044254,15.699156191754007,6.827912668988586,8.87124352322422,18.172142781148338,340,60.833333333333336,0.5,16.177777777777777,73.76770879578383,11.25,9.583333333333334,59.916666666666664,36.916666666666664,15,14,0.0,0,2.3358760521727358,2.0100140056022404,104,12,28,39,17,83,7,14,18
s1a-006_1,2123,99.06505702672517,32.92701667996269,0.42500000000000004,5.327825762675657,0.5029089173349919,1.876248676821012,28.79504113982655,14.166666666666666,38.25,68.2,40.35,3.831719550632119,8.949785302003834,13.50810140009165,12.250222281772984,3.5950556947539214,8.655166587492502,13.120678806214,331,38.46666666666667,4.458333333333333,11.878571428571428,53.462818065791254,20.625,5.366666666666666,31.766666666666666,35.69166666666666,17,11,0.0,0,0.5536177548235294,2.750262777738392,65,2,23,14,17,47,5,21,16
s1a-007_1,2072,102.84389116985255,33.46530152105872,0.0,4.183631710620065,0.5793875758600057,3.5729662013064316,35.446117138630484,13.683333333333334,31.066666666666666,103.26666666666667,39.46666666666667,3.0692851439981323,7.196873644995615,23.617440312571446,8.234720659633233,3.235714859404017,4.999005799671171,11.883206808160855,340,60.85,7.333333333333333,11.135714285714286,61.143868991120854,26.983333333333334,3.2,41.607142857142854,31.3,3,6,0.0,0,0.623351648,2.5841944607936504,87,5,27,40,8,48,4,19,8
s1a-008_1,2112,120.4460291481321,50.67507381061986,0.0,3.4995833686364284,0.3333333333333333,2.1055279934449738,31.253811667112647,5.166666666666667,26.966666666666665,95.65,62.766666666666666,1.046172355143565,6.571337964996956,20.45835596819155,14.011008223913418,6.22629860072172,7.784709623096459,12.378395911451069,314,84.26666666666667,0.0,10.761111111111111,55.75994711436276,11.5,2.7333333333333334,30.983333333333334,22.333333333333332,15,9,0.0,0,0.6611688744615384,1.9377257877618708,91,3,21,20,15,49,9,14,12
s1a-009_1,1974,100.21079601474375,38.257531022374714,0.0,4.5601685137441645,0.88120894909688,1.63492522002772,21.480822301374946,19.2,33.416666666666664,35.38333333333333,25.883333333333333,3.7144512994490753,7.290828627244787,7.14593879309179,15.764399286833122,7.693133524510921,8.071265761033523,16.45787159574491,254,17.916666666666668,6.25,14.703968253968254,46.18886570323161,19.0,4.75,34.06666666666667,27.28333333333333,4,4,0.0,0,0.6469510882044816,1.723526284096459,74,5,31,17,9,59,6,13,6
s1a-010_1,2031,110.98375140467743,43.850444741893945,0.0,3.867559092841171,0.125,2.3871164899317736,30.746310622012174,12.033333333333333,28.53333333333333,82.95,48.93333333333333,4.020623337865014,7.212947088609484,17.110486574213436,13.556382262345906,6.621797451390193,6.934584811238835,10.279389719837258,320,59.50476190476191,0.75,13.667965367965367,53.576924399195384,11.5,4.666666666666666,36.18571428571428,28.29285714285714,10,7,0.0,0,1.1980329168695651,0.6677489188196246,72,3,25,23,11,122,10,18,12
s1a-011_1,2084,127.94270046781806,51.381020916115105,0.625,3.1166823917989412,0.30000000000000004,2.373440813751879,31.854674047845087,11.083333333333334,36.25,89.0,35.5,2.5688370837518795,9.358262569835164,17.99111248366313,9.04521450550072,7.1161186016911975,1.9290959029047614,15.883186892983238,331,48.75,2.083333333333333,13.930891330968253,66.8914650426508,21.116666666666667,3.5,40.483333333333334,33.2,11,14,0.0,0,2.2998339075704948,2.558619732098323,98,4,29,28,10,107,12,21,22
s1a-012_1,2177,104.19013559712839,35.9094017446653,0.120370370037037,4.847391390547436,0.169996670073593,1.6986609377481592,25.30534867062462,13.083333333333334,39.766666666666666,74.66666666666667,32.9,2.7274067984211623,7.635222792972575,13.15964177562739,12.19287683287658,4.892630246371732,7.300246586094591,13.017002391463663,340,39.25,1.2,7.713492063492063,55.96748664911779,16.78333333333333,2.0,55.78333333333333,30.916666666666664,7,7,0.0,0,1.3742219116056642,1.7165311006986996,75,0,24,43,8,90,6,11,15
s1a-013_1,2436,147.37894418676152,54.18344958464507,1.788690476190476,3.6378351615704942,0.2428571428571428,2.861360139055957,36.71494574198961,13.75,28.316666666666666,108.81666666666666,50.391666666666666,4.342603077940865,5.864302260913929,22.96320329484995,15.503470443442577,5.102029342394958,10.401441101380952,16.320050657319676,379,53.53333333333333,12.666666666666666,7.366666666666666,75.90333367884006,23.0,3.0,40.61666666666667,30.816666666666666,6,13,0.0,0,0.8243269530034234,3.1629486259100523,104,2,30,22,10,116,10,19,17
s1a-014_1,2362,103.73306442502876,40.458778170103386,0.0,8.046180607973803,0.6122264021887824,2.2391790667707063,24.07367499531137,11.166666666666666,25.41111111111111,78.27539682539683,32.03968253968254,2.6090995099818937,4.60453053445511,15.12643851987531,13.755613190525514,5.5643693620483665,8.191243827853215,14.801183250861568,359,63.51547619047619,0.5,6.078571428571428,49.518673064825464,18.038095238095238,3.583333333333333,63.634523809523806,33.996428571428574,8,3,0.0,0,0.6317837272357723,1.5508781844117645,78,5,25,39,11,58,4,15,11
s1a-015_1,2103,107.6751254212224,36.78844237054379,0.0,2.376289682111111,0.0,2.650011099079365,33.874276107624425,19.4,44.509523809523806,61.24761904761905,23.45,4.5459585732341745,10.879730412823712,13.260110604098367,8.48168586579204,3.0766034702822633,5.405082395509776,14.018603805314694,376,54.53095238095238,5.066666666666666,14.467857142857142,62.40499718358448,20.541666666666668,3.5,43.23690476190476,36.77142857142857,11,7,0.0,0,1.295068711655438,2.3189452493616285,87,8,16,36,13,68,5,15,8
