group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,2244.0,118.766442708,29.697490216,26.697254876,2.410616974,0.497474747,2.649026383,35.812369491,39.983766232,37.532251081,63.637878788,21.763636363,8.514068321,7.839312837,14.281200722,8.76347414,4.405240741,4.358233397,17.766443837,348.0,33.650000001,1.5833333330000001,6.266666666,53.608223475,16.183333332,3.866666666,26.75,21.549999998,15.0,10.0,0.0,0.0,0.588034188,1.380007463,92.0,13.5,28.0,10.0,23.5,83.0,7.0,17.0,12.0
s1a-002_1,2050.5,120.690519064,29.244447665,14.69748782,5.048437934,1.058823529,3.488821277,42.873870324,55.473809523,40.65952381,66.397619046,32.109523808,15.073867046,10.619187596,15.363568501,15.967828891,4.080516309,11.887312583,12.514800226,331.5,51.919047618,3.25,3.991666666,60.74229314,13.033333333,2.666666667,22.266666666,29.945238095,12.0,4.0,0.658730159,0.0,3.396745739,3.378627833,109.5,6.0,39.5,12.0,30.0,82.0,12.0,29.0,6.0
s1a-003_1,1735.0,89.530109228,30.512033462,8.054851208,6.586951538,2.067721059,5.45583872,32.330822699,50.414285714,15.491666665,38.578571429,20.94404762,15.895674069,4.21382061,8.99585339,13.094939061,6.116027636,6.9789114230000004,16.171274364,253.0,43.061904763,3.892857143,2.437878789,37.868285499,8.092857142,2.816666666,16.411904761,31.035714284,3.0,5.0,0.975353536,0.0,0.672701117,1.82050845,95.5,14.5,15.0,18.0,12.0,64.0,3.0,14.0,6.0
s1a-004_1,3006.0,159.77757600500001,55.669623088,15.641363174,4.074501791,0.234444444,6.699616939,58.899242501,67.875901876,34.833369408,90.960786433,46.205158728,22.272492475,10.533016134,23.429877175,15.389489852,4.081028658,11.308461195,10.722780362,477.0,79.516666665,4.342857142,11.48089133,73.07709989,23.409523808,3.4261904760000004,35.816666663,32.219047618,9.0,11.0,0.0,0.0,0.9197781380000001,3.960973981,182.0,3.0,34.0,29.0,15.0,72.0,6.0,19.0,21.0
s1a-005_1,1990.0,61.304144134,19.335901607,3.451545691,4.185292782,0.279656862,2.452047329,25.553456219,48.830952381,18.368650793,45.317460317,8.219444443,9.711692717,4.463864963,10.111301511,3.85596901,2.303593394,1.552375612,12.380686018,316.0,66.385822512,0.892857143,13.494890077,34.660727829,17.133766233,5.344480519,31.530194805,28.444480517,2.0,4.0,0.333333333,0.0,1.329046622,4.024075891,54.0,6.0,37.0,25.0,7.0,14.0,5.0,13.0,2.0
s1a-006_1,3011.0,73.052963292,19.91381371,2.47353883,3.17579251,0.56036036,1.794872138,25.334134603,34.390981242,31.414682538,45.613636361,25.534632032,5.998207509,6.532520375,9.467749244,11.621840481,3.727845868,7.89399461,13.311524287,462.0,25.812518037,2.300793651,8.056227107,39.043770271,15.731324231,4.3185897440000005,44.473673548,40.011396934,8.0,1.0,0.0,0.0,0.396237878,2.153207101,62.0,13.0,33.0,24.0,13.0,48.0,2.0,12.0,5.0
s1a-007_1,2040.5,70.630689334,17.554454791,9.437166394,3.2333523399999997,0.436493559,1.741777538,25.894803059,32.479761907,10.923412698,52.978968252,28.905158729,8.173336132,2.510777813,12.327364699,7.421936078,3.00194628,4.419989797,9.27924009,358.0,65.665415141,0.583333333,2.41765873,36.217132072,11.925213675,1.694444444,34.568770119,23.665448438,2.0,1.0,0.0,0.0,2.300261234,1.584258839,88.0,2.0,14.0,18.5,4.0,20.5,2.0,10.0,4.0
s1a-008_1,1918.66666667,49.878872088,20.793727722,2.324126047,4.638854661,0.279146731,0.744227597,11.768169865,19.043550893,15.888095237,31.90996226,5.724358975,2.573779439,2.994277843,4.742381557,7.31408805,4.509941056,2.804146991,8.577895496,242.0,13.616300367000001,4.592857142,3.98225108,19.396490389,8.793589742,3.61529304,17.836263735,38.784615383,6.0,3.0,0.062048193,0.0,0.295099909,2.850293232,34.0,5.0,19.0,12.333333333,5.0,24.0,0.0,22.666666667,5.0
s1a-009_1,2048.0,74.682118057,24.842169394,3.339551604,7.454641821,0.055555556,4.660624298,39.847401264,50.508766233,16.71046176,64.476010101,11.154473306,13.216533138,4.642419221,19.960702261,6.618065355,2.1090926,4.508972756,11.054178676,355.0,85.433333335,1.0,13.518650792,39.88233171,9.233766232,2.333333333,34.432683982,28.332683982,1.0,4.0,0.0,0.0,0.365301262,3.0433823589999998,97.0,5.0,19.0,24.0,6.0,15.0,2.0,17.0,3.0
s1a-010_1,2566.5,88.737762307,25.732730524,0.96446422,3.5769953389999998,0.566484392,3.289121318,40.576504697,57.028643574,28.117099565,85.458549783,21.98654401,12.145989587999999,7.002249199,19.595963632,9.733354882,4.665381322,5.067973559,14.955058656,416.5,113.933333333,1.0,17.371031745,52.307212682,19.899999998,3.316666666,47.608333333,45.691666664,6.0,0.0,0.0,0.0,0.939939152,3.831090706,73.5,5.0,26.0,48.0,10.0,34.5,8.0,31.0,0.0
