group,word_S,lexical_density,nn_W,np_W,nominal_W,neoclass_W,poss_pronoun_W,pronoun_all_W,p1_perspron_P,p2_perspron_P,p3_perspron_P,it_P,pospers1_W,pospers2_W,pospers3_W,adj_W,atadj_W,predadj_W,prep_W,finite_S,past_tense_F,will_F,modal_verb_V,verb_W,infinitive_F,passive_F,coordination_F,subordination_F,interrogative_S,imperative_S,title_W,salutation_S,place_adv_W,time_adv_W,nom_initial_S,prep_initial_S,adv_initial_S,text_initial_S,wh_initial_S,disc_initial_S,nonfin_initial_S,subord_initial_S,verb_initial_S
s1a-001_1,1939.0,88.618333109,33.318584996,4.105489975999999,3.349877671,0.247474747,4.449120093,28.96157437,38.930952379,34.602380952,43.947619045,21.045238095,8.355368576,8.628650661,9.799088049,9.426143391,5.146172883,4.279970507,11.636534315,290.0,24.042857142,7.899999999,6.494047618,40.619611864,22.459523809,2.6666666660000002,30.726190475,28.895238093,5,10,0.0,0,0.229166667,2.708863544,81.0,10,30.0,10,9.0,20,5,20,13.0
s1a-002_1,1969.0,138.017368187,45.851733499,12.823748473,7.018149395,1.7713675210000002,3.268979996,56.190331013,48.416666666,56.416666664,72.916666666,27.666666665,12.162765789,19.962050378,18.612191784,19.173156828,4.416150429,14.757006399,13.338834778,305.0,47.083333334,5.0,8.783333332,60.168729402,18.533333332,5.0,24.699999999,22.366666666,9,8,0.0,0,0.787500001,3.543942563,151.0,6,26.0,20,19.0,66,6,17,17.0
s1a-003_1,1936.0,124.975648544,43.509770154,13.976375321999999,4.284408033,0.608766234,2.185212418,42.788303094999996,58.449999999,57.842857142,48.623809523,28.942857143,12.500465277,16.917502031,10.783954116,11.939817518,4.005427397,7.934390121,16.70238122,291.0,50.216666666,4.333333333,8.842857142,55.549685559,11.083333333,2.833333333,34.516666665,17.3,6,8,0.565873015,0,2.822699098,4.157288443,132.0,7,26.0,22,13.0,48,15,19,13.0
s1a-004_1,1999.0,117.221861477,33.895172276,8.507669128,2.853755965,0.602777778,3.498239669,48.732113087,60.399999998,43.845238094,72.685714285,33.269047617,14.519493724,13.953402565,17.381218534,12.359689619,4.93382353,7.42586609,15.956703689,331.0,45.5,5.166666666,12.749999999,62.459330457,17.033333333,7.333333333,34.816666665,24.416666666,9,5,0.058823529,0,2.11331953,3.92893577,132.0,3,42.0,17,21.0,25,7,14,13.0
s1a-005_1,1939.0,144.796045807,53.232122197,15.264583864,7.398163688,0.628787879,2.927070284,39.660875301,27.166666667,41.683333333,68.583333333,19.416666665,6.158088155,12.811327047,16.777076359,13.625567006,7.125927755,6.4996392499999995,18.94827799,274.0,34.333333333,10.333333333,12.588888886,62.673772741,22.066666666,6.0,39.802380951,26.666666665,13,12,0.0,0,2.216839827,3.199758499,128.0,12,36.0,23,24.0,60,15,29,16.0
s1a-006_1,1868.0,131.90375409,44.785209968,19.377795652,3.931418581,0.325,4.602808201,47.577954032,29.249999997,48.816666665,58.033333333,19.749999998,8.825040647,17.803839054,15.148662858,11.012648869,4.911248808,6.101400062,8.716165072,308.0,34.833333331,6.083333333000001,5.783333333,56.728099599,14.916666665,0.0,29.666666664,22.583333331,8,26,0.0625,0,0.492647059,2.877464537,112.0,2,37.0,20,25.0,43,9,23,27.0
s1a-007_1,1910.0,139.713527468,62.299575382,5.56637427,4.355112225,0.646464646,3.6052131039999997,32.925770647,42.116666666,55.016666667,34.749999999,14.0,9.412713498,14.008724592,8.059552331,12.21238323,7.603412567,4.608970664,11.558162343,281.0,6.916666666,11.5,9.369047617,59.558271517,25.916666667,3.0,17.25,24.083333333,7,30,1.0,0,3.146530764,5.906137632,136.0,7,60.0,6,16.0,35,12,21,29.0
s1a-008_1,1945.0,156.552103451,48.290619107,6.392857143,4.599343712,1.076923077,5.667872406,52.54901904,47.249999998,48.166666665,71.833333331,30.916666663,12.145861086,18.943627208,17.774869579,24.124461649,11.090326341,13.034135309,15.378619994,325.0,66.416666668,8.833333333,8.583333332,77.633054446,10.749999999,6.833333333,17.916666666,29.749999999,15,14,0.0,0,2.139224665,2.433470695,156.0,5,36.0,10,28.0,27,12,30,34.0
s1a-009_1,2024.0,122.307017444,29.2866951,11.551242831,1.098809524,0.275,1.448697271,62.728225077,86.413131311,69.656565653,40.37222222,25.055555553,21.067181547,29.016530584,10.168168574,11.937187713,3.618958719,8.318228994,9.597434896,352.0,17.883333333,6.416666667,14.419047617,69.531891796,32.069047619,2.642857143,37.595238093,25.861904761,12,10,0.0,0,2.078213006,3.33611805,154.0,1,30.0,17,16.0,60,6,17,11.0
s1a-010_1,1868.0,103.771900618,27.000720774,8.522550783,3.044988752,0.546918767,1.248908444,51.748850774,55.283333334,46.449999998,58.666666667,16.816666666,11.953041356,23.25597839,13.518669832,17.357556315,6.3336564730000005,11.023899843,12.059480857,278.0,11.499999999,7.5,10.113492062,50.891072744,18.749999999,2.0,47.099999998,33.566666665,5,9,0.0,0,0.618347339,4.3663268,123.0,4,31.0,38,10.0,41,8,20,10.0
